,,□,職業安定所（所長）,周辺企業の様子,・新規求職者数は引き続き減少傾向にあり、就職者数もやや減少している。ただし、企業の採用意欲は依然として旺盛であり、人手不足は変わらない。,,
,,□,職業安定所（職員）,求人数の動き,・求人数は増加しているものの、内容的には派遣会社からの求人が多い。,,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は、前年同月比で1.6％増加している。一般求人が減少している一方で、パート求人は同17％の増加となっている。,,
,,□,職業安定所（管理担当）,求人数の動き,・新規求人数が増加し、新規求職者は減少したことから、管内の有効求人倍率は1.72倍と前月に比べ0.06ポイント上回っている。一方、正社員の有効求人倍率は、依然として低い水準に止まっている。,,
,,□,民間職業紹介機関（職員）,求人数の動き,・求人数は高い水準が続いているが、登録者数は停滞している。,,
,,▲,人材派遣会社（社員）,雇用形態の様子,・派遣社員の依頼は、例年の９月と比べて半減している。ここ１年で企業が直接雇用を増やしたことと、派遣社員の同一企業での就業が長期安定していることが、その背景として考えられる。,,
,,▲,求人情報誌製作会社（編集担当）,求人数の動き,・求人市場は、動きが全体的に鈍化してきている。,,
,,▲,職業安定所（職員）,周辺企業の様子,・小規模事業所の倒産が散見される。,,
,,▲,学校［大学］（就職担当）,求人数の動き,・大手企業からの求人数は高い水準にあるが、一時の過熱した状態ではなくなっている。,,
,,×,－,－,－,,
,,,,,,,
　６．北陸（地域別調査機関：（財）北陸経済研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北陸)",,◎,－,－,－,,
,,○,商店街（代表者）,来客数の動き,・百貨店を核とする大型再開発ビルがオープンし、その効果で来客数が急増した。,,
,,○,コンビニ（店長）,来客数の動き,・客単価は変わらないが、来客数が安定的に増加している。前年との比較では１日当たり最多来客数は変わらないが、最少来客数は格段に増加しており、いわゆる「悪い日」が無くなっている。,,
,,○,家電量販店（店長）,単価の動き,・大型テレビの売れ筋が37型から42型にシフトしている。また、冷蔵庫も450Ｌ以上の大型タイプの売行きが、モデルチェンジ前で買いやすい価格帯になったことなどから好調に推移している。,,
,,○,旅行代理店（従業員）,販売量の動き,・団体旅行を中心に好調に推移しており、売上は前年比で70％増加した。春先の地震の影響から脱却しつつある。,,
,,○,住宅販売会社（従業員）,来客数の動き,・建物の地震に対する施工方法や構造を説明することにより、ようやく客の安心を得られるようになってきた。また、地震時の住宅倒壊の不安感から足が途絶えていた客が展示場に戻ってきた。,,
,,□,商店街（代表者）,お客様の様子,・百貨店を核店舗とする大型再開発ビルがオープンしたため、多くの人出はあったが、周辺の個店ではまだ影響が見られない。,,
,,□,一般小売店［書籍］（従業員）,来客数の動き,・来客数や書籍の売れ筋分野などで大きな変化はない。,,
,,□,スーパー（店長）,販売量の動き,・暑い日が続いたため、食品でも秋物商材が出遅れた。飲料は動いたが、新商品の菓子や高い野菜が動かず、買上点数が落ち込んだ。加えて、ガソリン価格高騰の影響で、客の買物態度は厳しい。,,
,,□,スーパー（総務担当）,来客数の動き,・残暑の影響からか、来客数は減少しているが、客単価は変わらない。,,
,,□,コンビニ（経営者）,販売量の動き,・来客数は前年に比べ若干増加しているが、客単価は逆に低下している。,,
,,□,コンビニ（経営者）,販売量の動き,・残暑が厳しかったため、飲料、アイスなどが前年を大幅に上回った。しかし、例年であれば好調となるおにぎりやパンなどの中食が大変苦戦した。,,
,,□,家電量販店（経営者）,販売量の動き,・残暑の影響もあり、エアコンの売上は前月同様に好調で、前年比25％増となったが、パソコンの売行きは依然として陰りがあり、全体としてはほぼ前年並みであった。,,
,,□,乗用車販売店（経理担当）,販売量の動き,・中古車部門、修理部門は前年を上回っているが、主力の車両販売は前年を維持するのが精一杯である。,,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・過当競争のため、利幅でコストを回収できない状態が続いている。,,
,,□,高級レストラン（スタッフ）,販売量の動き,・９月は土・日曜日、祝日が12日間もあったが、料亭部門、レストラン部門ともに大苦戦であった。能登半島地震から半年になるが、前年の売上を毎月下回っている。今月から隣県や中京地区の旅行エージェントへの営業を再開したが、反応は決して良くない。,,
,,□,一般レストラン（スタッフ）,来客数の動き,・３か月前は駅前にオープンした飲食ゾーンなどの影響により落ち込んでいたが、現状は前年比較で下回っているものの落ち着いてきており、横ばい状態である。,,
,,□,観光型旅館（スタッフ）,来客数の動き,"・９月における予約保有は大きく悪化している。また直前の申込が減少している。
・１旅館だけでなく温泉地全体が底上げになって初めて能登半島地震の風評被害からの脱却ができたといえるが、現在はそこまでに至っていない。",,
,,□,タクシー運転手,販売量の動き,・大規模な野外コンサートが行われたため、その準備などで大きなタクシー需要があった。しかし、夜の繁華街は全く振るわなかった。,,
,,□,通信会社（役員）,販売量の動き,・ケーブルテレビの加入促進キャンペーンを実施したが、新規加入の低調化傾向は相変わらずである。多チャンネルテレビ放送の加入世帯が約４割に達し、飽和状態に近いとの見方もあるが、全国的には更に高い加入率の同業者もあり、やはり区域外再送信問題の影響が大きいとみている。,,
,,□,通信会社（営業担当）,販売量の動き,・本来であれば販売数が極端に落ちる月であるが、店独自のキャンペーン・イベントの実施により、前月同様の販売数を維持している。,,
,,□,テーマパーク（職員）,来客数の動き,・能登半島地震等の風評被害の影響もあり、利用者は３か月前と同様に、前年比で１割近い減少が続いている。,,
,,□,その他レジャー施設（職員）,単価の動き,・９月前半まで残暑が続いたことや３連休が２度あったことから来客数、売上とも伸びた。しかし、客単価は依然として低下傾向にある。,,
,,□,住宅販売会社（総務担当）,単価の動き,・契約物件は低価格商品に偏っているため、利益水準が回復せず、原材料のコスト増を吸収できない。,,
,,▲,一般小売店［鮮魚］（従業員）,お客様の様子,・すし店、料理店など、ほとんどの取引先で来客数の減少が止まらない。観光客だけでなく、地元客の動きも悪いという話がよく聞かれる。,,
,,▲,百貨店（売場主任）,それ以外,・天候の不順や、日本ならではの四季が不安定なことなどが消費に悪影響を与えている。,,
,,▲,百貨店（営業担当）,お客様の様子,・暑い日が続いたため、秋物ジャケットや裏地の付いたパンツ類が苦戦し、ミセスでは前年の94％となった。ライバル店とバッティングしたヤングブランドは同74％と振るわなかった。,,
,,▲,百貨店（売場担当）,来客数の動き,・月初めの来客数は良かったが、中旬以降の客足がかなり落ち込んだため、販売量も減少している。,,
,,▲,スーパー（店長）,販売量の動き,・高い気温が続いたため秋物衣料が動かず、早くも秋のセールに入った。単価も低く、利益も取れない状況である。,,
,,▲,衣料品専門店（経営者）,販売量の動き,・秋物商材を全面的に打ち出したが、厳しい残暑で夏物の「延長戦」となった。秋物が伸びなかったため、売上は前年に比べ減少した。,,
,,▲,衣料品専門店（経営者）,単価の動き,・９月に入ってからも暑い日が続き、ジャケットやブルゾンなど単価の高い上物の販売が伸びなかった。,,
,,▲,乗用車販売店（経営者）,来客数の動き,・個人ではなく、家族単位の来店が増えてきた。客は実用的で経済性を重視した選び方をしている。また意思決定に時間が掛かり、商談の長期化傾向が見られる。,,
,,▲,スナック（経営者）,来客数の動き,・例年どおり、月初めは盆踊りの大イベントのためホテルは満杯となり、出張者の来店もなかった。また、３連休が２度もあり、客も社内旅行などのため来店せず、店内は静かな毎日であった。月末に数回の貸切りがあったため、辛うじて最悪の状態は免れた。,,
,,▲,都市型ホテル（スタッフ）,来客数の動き,・レストラン、宴会、宿泊の来客数がいずれも前年を下回り、減収となっている。レストラン利用客は４か月連続で減少しており、回復の兆しが見られない。,,
,,▲,旅行代理店（従業員）,単価の動き,・業務出張の取扱比率が高まり、観光旅行の取扱が減少している。,,
,,×,百貨店（営業担当）,来客数の動き,・全体的に来客数が非常に落ち込んでいる。イベントへの集客はあるものの、店内の買物へ波及するシャワー効果が出ていない。,,
,,×,住関連専門店（店長）,販売量の動き,・９月になっても残暑が厳しいため、秋・冬の季節商材の販売が低下している。,,
,,×,パチンコ店（店員）,販売量の動き,・人気台を撤去したため売上が大幅に減少している。,,
"企業
動向
関連

(北陸)",,◎,－,－,－,,
,,○,電気機械器具製造業（経理担当）,受注量や販売量の動き,・既存製品の好調な受注に加え、新製品の受注も多い。海外では携帯電話・パソコン市場、国内ではゲーム機市場が好調に推移している。,,
,,□,繊維工業（経営者）,受注量や販売量の動き,・残暑が非常に厳しかったため、秋物商材の動きが特に悪い。,,
,,□,一般機械器具製造業（総務担当）,受注量や販売量の動き,・国内の受注は伸びていないが、欧州では引き続き好調な動きを維持している。,,
,,□,精密機械器具製造業（経営者）,受注量や販売量の動き,・ここ数か月間の眼鏡受注量は若干の増減はあるものの、ほぼ安定した状態で推移している。,,
,,□,建設業（総務担当）,それ以外,・６月に行われた建築基準法の一部改正により、建築確認済書の交付が従来より大幅に遅れている。このため、工事受注が内定しても建築確認申請に時間が掛かり、着工が先送りになることから、工事完成高に影響が出る。,,
,,□,輸送業（配車担当）,受注価格や販売価格の動き,・原油等の値下がりが見込めず、利益がなかなか上がらない状況が続いている。,,
,,□,新聞販売店［広告］（従業員）,受注量や販売量の動き,・折込広告業界では企業による温度差は若干あるものの、全体としては前年比較で横ばいである。,,
,,□,司法書士,取引先の様子,・中堅企業では負債が大きくならないうちに解散、事業終了とする案件が多い一方で、起業の相談、案件もある。,,
,,▲,食料品製造業（企画担当）,受注量や販売量の動き,・当社では規格変更を主とした値上げを９月から実施したが、荷動きは悪く、また当初の計画ほど効果が上がっていない。,,
,,×,建設業（経営者）,競争相手の様子,・公共工事では予定価格の30％、40％引きという低価格入札が日常茶飯事となっているが、低入札価格調査が実施されても契約されないケースは無く、採算を度外視したダンピングの流れに歯止めが掛からない。,,
"雇用
関連

(北陸)",,◎,－,－,－,,
,,○,－,－,－,,
,,□,人材派遣会社（社員）,求人数の動き,・派遣の需要件数は増加していない。技術を持った求職者が少ないため、企業ニーズに対応できない。,,
,,□,人材派遣会社（社員）,求人数の動き,・一部の金融機関では従来の派遣から紹介予定派遣へ切替える動きが見られる。,,
,,□,新聞社［求人広告］（担当者）,周辺企業の様子,・パチンコなどの遊技業の広告申込件数は減少傾向が目立つ。,,
,,□,職業安定所（職員）,求人数の動き,・４月以降、有効求人倍率は上昇しており、新規求人も月により増減はあるものの、全体的には増加傾向で推移している。,,
,,□,学校［大学］（就職担当）,求人数の動き,・企業からの求人が長期化している。,,
,,▲,職業安定所（職員）,周辺企業の様子,・中小企業で事業縮小や倒産が相次いだ。なお、業種的には偏りがなく、様々であった。,,
,,×,新聞社［求人広告］（担当者）,求人数の動き,・求人広告の売上は前年に比べ３割減少している。,,
,,,,,,,
　７．近畿（地域別調査機関：りそな総合研究所（株））,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(近畿)",,◎,コンビニ（経営者）,来客数の動き,・最近、残業中に来店してくる客が増えてきている。また宮崎県フェアの好調も売上に貢献している。,,
,,◎,タクシー運転手,来客数の動き,・残暑が厳しいものの、前月と同様に順調に売上を伸ばしている。,,
,,○,一般小売店［酒］（経営者）,来客数の動き,・前月は今年に入って一番売上が悪かったが、９月は新規客が増えたことで持ち直し、９月として過去最高の売上を記録している。,,
,,○,一般小売店［花］（店長）,お客様の様子,・古くからの客の来店が多少目立っており、緩やかな上向き傾向となりつつあるものの、まだまだ横ばいに近い状態である。,,
,,○,百貨店（売場主任）,来客数の動き,・まだまだ暑いものの、店頭には秋冬物の商品が並び出し、来客数が増えてきている。コート類などは既に売れ始めている。,,
,,○,スーパー（経理担当）,販売量の動き,・残暑による効果のほか、今年は秋の長雨が少ないことで、盆明け以降の好調を維持している。,,
,,○,コンビニ（店長）,来客数の動き,・残暑によってドリンク類を買う客が増えており、売上は前月よりも伸びている。,,
,,○,コンビニ（マネージャー）,販売量の動き,・残暑の影響で飲料の売上が伸び、全体を押し上げている。その反面、おでんや中華まんなどのホット商材は例年に比べて売行きが悪い。一方、夏から行っている全社的なキャンペーン効果により、新しい客が増えている。,,
,,○,乗用車販売店（経営者）,来客数の動き,・新型車の発表で、来客数が前年よりも8.3％増えている。,,
,,○,乗用車販売店（営業担当）,来客数の動き,・９月に入り、ここしばらく減少していた新規の来客数が増加している。夏に買換えなかった客が動いているほか、９月のイベント効果もあり、来客数、受注台数共に半年ぶりに回復している。,,
,,○,観光型ホテル（経営者）,販売量の動き,・日によって繁閑の差がかなり大きいものの、今月は３連休が２回あったことで、前年、２年前よりも販売量は増えている。,,
,,○,観光型旅館（経営者）,単価の動き,・高単価の商品が売れている。,,
,,○,都市型ホテル（スタッフ）,販売量の動き,・販売量は前年を大きく上回っているものの、単価の低下が激しく、全体の売上は変わらない。,,
,,○,都市型ホテル（役員）,お客様の様子,・９月上旬まで世界陸上が開催され、宿泊、レストランを中心に潤っている。特に、宿泊部門では高い稼働率に支えられて単価が上昇し、売上全体を押し上げた。また３連休が２回あったことで、宿泊、レストランの来客数も増加している。その反面、宴会ではいわゆる平日が18日しかなかったことで、件数、売上共に減少している。,,
,,○,都市型ホテル（営業担当）,来客数の動き,・宿泊は、世界陸上が終わっても個人客が堅調に動いているほか、地域全体で稼動率や客室単価が上がっている。一方、宴会では学会やセミナーの需要が多いほか、一般宴会の売上も伸びているものの、婚礼の受注が相変わらず悪い。,,
,,○,その他レジャー施設［イベントホール］（職員）,販売量の動き,・年末年始にかけて新たなイベントの予約が入ってきているほか、恒例のイベントに対しても、常連客以外の客からの問い合わせが増えている。,,
,,○,その他住宅［情報誌］（編集者）,来客数の動き,・厳しい状況が続いている新築マンション販売では、依然として集客が伸びないものの、盆以降は若干の改善がみられる。都心部を中心に、大規模物件、割安な物件では販売状況が好転してきている。,,
,,□,一般小売店［花］（経営者）,単価の動き,・前月に比べて注文量は増加しているものの、単価が抑えられており回復感はない。,,
,,□,一般小売店［鮮魚］（営業担当）,単価の動き,・商品単価が更に上がったことで、客の間では商品離れや買い控えが起こっている。,,
,,□,一般小売店［カメラ］（販売担当）,単価の動き,・写真のデジタル化でフィルムの販売やプリント売上が激減しており、売上が増えない。,,
,,□,百貨店（売場主任）,来客数の動き,・来客はあるものの、以前のように安い商品や気に入った商品をすぐに買うことはない。,,
,,□,百貨店（売場主任）,販売量の動き,・全体的に来客数が増えている。来客数の増加は生鮮食料品の購入増加に直結するため、販売量が増えている。,,
,,□,百貨店（営業担当）,お客様の様子,・記念販促品であると前面に打ち出すことで、買上の増える傾向もみられるものの、暑さの影響で店頭への来客数が伸びず、秋物衣料品の買上が低迷している。,,
,,□,百貨店（営業担当）,単価の動き,・食料品などの日用品には動きがあるものの、ブランド品などの高額品には動きが少ない。,,
,,□,百貨店（サービス担当）,お客様の様子,・残暑の影響で来客数が前年の約５％減となっており、売上も前年を割り込んでいるものの、新しいイベントは好調に推移している。,,
,,□,百貨店（店長）,販売量の動き,・特に今月は残暑が厳しく、婦人服を中心にファッション関連の動きが鈍い。,,
,,□,百貨店（マネージャー）,販売量の動き,・天候の影響で販売量が落ち込み、売上も苦戦しているものの、景況感そのもののは３か月前と変化はない。,,
,,□,百貨店（商品担当）,販売量の動き,・例年にない残暑で、秋物商材の動きが芳しくない。,,
,,□,スーパー（店長）,単価の動き,・来客数、客単価共に変化はあまりなく、良い週と悪い週が交互に続いている。,,
,,□,スーパー（広報担当）,販売量の動き,・気温の高い日が続き、衣料品を中心に秋物商材の売行きは苦戦している。,,
,,□,コンビニ（経営者）,単価の動き,・全体的には客単価がまだ低下傾向にあるが、酒類の取扱が始まったことで上向きつつある。,,
,,□,コンビニ（店長）,お客様の様子,・前月に続き、１人当たりの購入点数や金額にあまり変化はない。気温が高かったことで、アイスクリームやソフトクリーム、ソフトドリンクといった商品の販売は伸びたものの、全体の売上は変わっていない。,,
,,□,コンビニ（店長）,来客数の動き,・来客数は横ばい状態であるが、客１人当たりの買上金額が低いため、売上は伸びていない。,,
,,□,家電量販店（経営者）,単価の動き,・薄型テレビを中心に価格の低下が激しく、オール電化への需要の増加でカバーしている状況である。,,
,,□,住関連専門店（経営者）,販売量の動き,・例年は夏のイベントシーズンを終えて販売が落ち込む時期であるが、今年は観光客を中心に来客数が多く、店頭販売が予想以上に好調となっている。,,
,,□,住関連専門店（店長）,販売量の動き,・ある商品が好調であれば、そのほかの商品が不調となり、ある店の売上が伸びれば、そのほかの店では減少するなど、売上全体に上向き傾向はみられない。いまだに低いレベルの横ばいが続いている。,,
,,□,その他専門店［医薬品］（経営者）,来客数の動き,・前月は中間決算月でセールを行ったため、今月は生活雑貨商品を中心に客が減少したものの、残暑の影響でペットボトルなどの水物の動きは良い。,,
,,□,その他専門店［スポーツ用品］（経理担当）,販売量の動き,・秋冬物については、残暑の影響で出荷や店頭の販売状況が今一つであるほか、プロパーとしての販売期間が短くなる。,,
,,□,一般レストラン（経営者）,来客数の動き,・残暑は予想されたほど厳しくなく、月後半は来客数が増えたため、平均すると変わらない。,,
,,□,観光型旅館（経営者）,単価の動き,・今月は３連休が２回あり、好天にも恵まれことで、利用者数が前年を10％ほど上回っている。しかし、客単価は前月よりも４％、５月に比べて約12％も落ち込んでいる。,,
,,□,都市型ホテル（スタッフ）,来客数の動き,・宿泊は先行予約が悪かったものの、中旬以降に大きく伸びたことで前年を大幅に上回っている。宴会、会議もここ数年の実績を上回ったものの、婚礼件数が大幅に減少しているなど、本格的な回復感はない。,,
,,□,都市型ホテル（マネージャー）,来客数の動き,・宿泊、宴会などの法人関係の動きは好調であったものの、レストランなどの個人客の動きは低調となっている。,,
,,□,旅行代理店（経営者）,販売量の動き,・予約受付件数は６、７月と前年割れとなったものの、８、９月は前年を若干上回っている。６月以降を平均するとほぼ前年並みとなっており、動きの読みにくい状態が続いている。,,
,,□,旅行代理店（店長）,来客数の動き,・前月に続いて来客数が前年比で15％減少している。予約件数、人員数、単価まで落ち込んでおり、厳しい状況が続いている。,,
,,□,旅行代理店（広報担当）,お客様の様子,・旅行の申込が間際になって伸びたほか、前年よりも客が少し足を延ばした感がある。間際の伸びで前年を上回った状況ではあるものの、客の旅行意欲は変わらない。,,
,,□,タクシー運転手,お客様の様子,・例年、客の動きが落ち着いてくる時期であるが、飲酒運転の取締りの強化により、タクシーやほかの公共交通機関を使う傾向が強まっている。,,
,,□,タクシー運転手,お客様の様子,・大阪は客が少ないのにもかかわらず、タクシー会社が月に２、３社設立されているため、暇な状況が続いている。,,
,,□,タクシー運転手,単価の動き,・昼間は乗客がみられる一方、夜間の客は公共交通機関で帰ることが多く、伸び悩んでいる。,,
,,□,タクシー会社（経営者）,お客様の様子,・客が交通費を節約する様子がみられ、特に夜は電車などの公共交通機関で帰宅する傾向が続いている。,,
,,□,通信会社（経営者）,お客様の様子,・新規案件への問い合わせ件数は少し減っているものの、大きな変化はない。,,
,,□,通信会社（経営者）,販売量の動き,・販売拡大をねらって動いている通信会社が少なく、販促費用を抑えている様子である。,,
,,□,通信会社（社員）,販売量の動き,・当社のサービス提供地域の一部では、サービス加入件数の伸びが鈍化してきている。,,
,,□,その他レジャー施設［飲食・物販系滞在型施設］（企画担当）,来客数の動き,・来客数はさほど悪くないが、回復感を感じるほど力強いものではない。,,
,,□,美容室（店員）,来客数の動き,・インターネット広告で新しいパーマのメニューをみた客の来店が増えている。,,
,,□,その他サービス［ビデオ・ＣＤレンタル］（エリア担当）,販売量の動き,・好調が続いていたゲーム売上が減少し、全体的に厳しい月となっている。,,
,,□,住宅販売会社（経営者）,単価の動き,・以前に比べて引き合い件数は増えたものの、仕入価格の上昇で利益率が低下し、利益額は横ばいとなっている。,,
,,□,住宅販売会社（従業員）,お客様の様子,・全体的に近畿圏のマンション販売状況には悪化がみられる。千里中央や北浜といった高額なタワーマンションは好調に推移しているものの、三田や奈良といった郊外では販売不調が続いている。,,
,,□,その他住宅［展示場］（従業員）,お客様の様子,・住宅展示場では様々な無料イベントを実施しているが、景品ねらいの客が最近増加している。,,
,,▲,商店街（代表者）,販売量の動き,・販売額が前年を大きく下回っているほか、残暑の影響などで客足の引きが相変わらず早い。,,
,,▲,一般小売店［衣服］（経営者）,お客様の様子,・店舗の入っているショッピングセンター、百貨店、商店街の売上が前年比で５～７％減少している。残暑の影響もあるものの、客の反応があまりにも悪い。,,
,,▲,一般小売店［時計］（経営者）,来客数の動き,・９月に入っても夏の暑さが続いているほか、漠然とした不安から客に買物をする余裕がなくなったことで、来客数が激減している。,,
,,▲,一般小売店［衣服］（経営者）,お客様の様子,・猛暑が続いており、秋物商材の売行きは非常に厳しい。,,
,,▲,百貨店（売場主任）,お客様の様子,・前年よりも日曜日、祝日が多かったにもかかわらず、売上は前年を10％弱下回っている。気温の影響で秋冬物の動きが鈍かったほか、客の間ではたんす在庫が豊富なため、不要な物は購入しない傾向が続いている。,,
,,▲,百貨店（売場主任）,お客様の様子,・残暑が厳しく、秋物衣料が動かない。日中の最高気温の９月平均は32.8度と、前年より3.3度も高い。,,
,,▲,百貨店（売場主任）,販売量の動き,・来客数はそれほど悪くないが、残暑の影響で販売量は落ち込んでいる。単価も上がっておらず、売上は前年を下回っている。,,
,,▲,スーパー（店長）,来客数の動き,・残暑の影響で、衣料品を中心に季節商材への引き合いが少なく、来客数の減少も続いている。来客数の減少をカバーする高額商品や話題の新製品も少なく、来客数、単価の両面で厳しい状況となっている。,,
,,▲,スーパー（店長）,販売量の動き,・気温が下がらないため、衣料品の秋物商戦は苦戦している。特に、紳士、婦人のパジャマや洋品類が売れずに過剰在庫となっている。３連休が２回あったことで、行楽、運動会関連商材はよく動いたものの、来客数が約５％ダウンしたことで全体的な売行きは鈍い。,,
,,▲,スーパー（店員）,来客数の動き,・大型スーパーとの競合で来客数が減っている。,,
,,▲,スーパー（管理担当）,販売量の動き,・残暑が厳しく、食品では季節物である鍋物商材の売行きが悪い。また、中国産の松茸なども苦戦している。,,
,,▲,衣料品専門店（経営者）,お客様の様子,・７、８月の売上は前年比100％、105％であったが、９月は前年の水準を５～10％下回る日が続いている。,,
,,▲,乗用車販売店（経営者）,単価の動き,・メーカーがバッテリーやオイルなどを値上げし始めている。,,
,,▲,一般レストラン（経営者）,競争相手の様子,・競争相手をみると、店ごとに好不調の差が大きく、閉店の数も多くなっている。,,
,,▲,一般レストラン（スタッフ）,来客数の動き,・営業努力で客単価の低下を抑えているものの、来客数では前年割れが続いている。,,
,,▲,スナック（経営者）,来客数の動き,・気候の影響だけではなく、客に元気がない。団体客も一次会で帰ることが増えている。,,
,,▲,タクシー運転手,競争相手の様子,・企業からの予約が全体的に減っている。,,
,,▲,競輪場（職員）,来客数の動き,・ここ数か月は入場者数が減少傾向にあり、前年比では約１割程度の減少となっている。,,
,,▲,美容室（店長）,販売量の動き,・来客数は前年並みであるものの、セット販売を行っている化粧品の売行きが鈍っている。,,
,,▲,住宅販売会社（経営者）,販売量の動き,・建築建材の値上がりで原価が上昇しているものの、販売価格は上げられない状況である。また、建築基準法の改正で建築確認に時間が掛かるようになり、契約後の物件にも解約が出ている。,,
,,▲,住宅販売会社（経営者）,販売量の動き,・京都では６月の建築基準法の改正と、９月の新景観条例の施行により、市場が冷めてきている。,,
,,▲,住宅販売会社（従業員）,来客数の動き,・来客数の減少が顕著であり、顧客マインドの低下が懸念される。,,
,,▲,住宅販売会社（総務担当）,販売量の動き,・希少価値のある一部の土地を除き、不動産の契約状況が悪くなってきている。,,
,,×,商店街（代表者）,お客様の様子,・暑い日が続いて客が大型スーパーなどに車で出掛けるため、売上が伸びていない。,,
,,×,一般小売店［衣服］（経営者）,販売量の動き,・前年に比べて来客数は減少していないものの、残暑の影響で冬物商材が前年に比べてほとんど売れていない。そのため販売量、客単価共に落ちている。,,
,,×,百貨店（経理担当）,販売量の動き,・残暑で例年よりも季節が１か月ずれている感があり、秋物衣料が婦人、紳士、子供の全てで売れていない。また、婦人靴でもブーツの売行きが不振となっている。,,
,,×,百貨店（売場担当）,来客数の動き,・婦人服では来客数の減少以上に売上が減少しており、非常に厳しい状況となっている。,,
,,×,競輪場（職員）,単価の動き,"・９月の客単価は12,215円と、６月の13,489円に比べて低下している。",,
"企業
動向
関連

(近畿)",,◎,－,－,－,,
,,○,金属製品製造業（管理担当）,それ以外,・忙しいため、社員、契約社員を募集しても、なかなか応募が集まらない。また、残業時間が増えている上に、厳しい残暑で生産効率が低下し、それが更に残業時間を増やすという悪循環に陥っている。,,
,,○,電気機械器具製造業（営業担当）,受注量や販売量の動き,・製鉄所向けの設備改良工事が増えている。,,
,,○,建設業（経営者）,受注量や販売量の動き,・参議院選挙が終わって不動産売買が活発化してきたのに伴い、受注量が増加している。,,
,,○,輸送業（営業所長）,受注量や販売量の動き,・印刷機や事務機器のほか、関連商品の動きが好調である。,,
,,○,広告代理店（営業担当）,受注量や販売量の動き,・10月以降の新規の広告出稿が更に増えてきている。,,
,,□,食料品製造業（従業員）,受注価格や販売価格の動き,・厳しい残暑で食欲が減退し、調味料関係の荷動きが良くない。原材料や資材が高騰する一方、製品価格に転嫁できないことから、利益率も悪くなってきている。,,
,,□,出版・印刷・同関連産業（情報企画担当）,受注価格や販売価格の動き,・得意先の業況は業種によって大きな差がある。中小企業でも環境に配慮した商品を扱っている企業には活気がある。,,
,,□,化学工業（管理担当）,受注量や販売量の動き,・携帯電話部品用の封止樹脂の受注が計画を大幅に上回っているほか、建造物補修用の新製品も順調に伸びている。その一方、原材料の高騰に伴って、販売先に値上げを要請しているものの、価格転嫁は目標の３割程度しか進んでいない。全体的に売上はやや増加している一方、利益は既存品のマイナスを新製品でカバーし、若干のプラスとなっている。,,
,,□,金属製品製造業（経営者）,取引先の様子,・取引先の動きは相変わらず悪く、回復基調とはなっていない。,,
,,□,一般機械器具製造業（経営者）,取引先の様子,・当社には鉄鋼関連の取引先が多いが、相変わらず好調が続いている。,,
,,□,電気機械器具製造業（経営者）,取引先の様子,・取引先の設備メーカーをみると、グローバル展開している企業からは仕事量も多いが、国内市場が中心の企業からは仕事量が少ない。,,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,"・６月からの月間受注額は4,400万円から1億552万円とばらつきが大きく、８、９月も芳しくない。６月以降は損益分岐点の８千万円を２度も下回っている。",,
,,□,電気機械器具製造業（宣伝担当）,受注量や販売量の動き,・薄型テレビなどのＡＶ関連商品は堅調な荷動きを維持しており、そのほかの商品にも大きな変化はない。,,
,,□,電気機械器具製造業（企画担当）,受注量や販売量の動き,・建築基準法の改正に伴って建築物の着工時期が遅れ、住宅、店舗向けの付帯設備の売上が落ちている。,,
,,□,その他製造業［事務用品］（営業担当）,受注量や販売量の動き,・例年この時期は商品の動きが鈍くなるほか、今年は新商品の発表も少ない。,,
,,□,建設業（経営者）,競争相手の様子,・倒産や廃業に追い込まれる同業者が目立っている。,,
,,□,金融業（営業担当）,取引先の様子,・自動車部品製造業者の売上は増えているものの、原材料の高騰で減益となっている。一方、ホームページ作成などを行う宣伝広告業者では、減収減益となっている。,,
,,□,不動産業（営業担当）,取引先の様子,・神戸市の中部から東方面では、商業地、住宅地共に土地の価格が徐々に上がっている一方、賃貸の商業ビル、賃貸マンションの賃料は下がり続けている。,,
,,□,新聞販売店［広告］（店主）,受注量や販売量の動き,・新たな購読者の獲得数は増えているものの、購読の中止もあって全体的な変化はない。折り込み件数も前年比でみると減少している。,,
,,□,広告代理店（営業担当）,受注価格や販売価格の動き,・年末に向けて受注は増えているものの、単価は下がってきている。,,
,,□,広告代理店（営業担当）,受注量や販売量の動き,・ここ数か月は、広告を増やす企業と抑える企業に分かれており、その状況に変化はない。,,
,,□,経営コンサルタント,取引先の様子,・商店街や小売店では回復感がなく、スーパーでも規模の大小を問わず業績が回復していない。いずれの企業、店舗も前年実績を下回る傾向にある。,,
,,□,経営コンサルタント,受注量や販売量の動き,・取引先の業況や受注販売状況は横ばいで推移している。,,
