,,□,スーパー（副店長）,単価の動き,・来客数は前年並みであるが、依然として客単価が５％前後下回る傾向が続いている。,
,,□,コンビニ（店長）,販売量の動き,・３月は下旬に雪が降るなど不安定な天候が続いたため来客数が少なく、各種イベントに連動するインスタントカメラ、ジュース等の飲料、紙コップなどは例年どおり売れなかった。,
,,□,家電量販店（経営者）,販売量の動き,・前月に続き、薄型テレビ、ＤＶＤレコーダーが好調で、花粉対策として空気清浄器、残寒のせいでファンヒーター等の暖房器具の売上が前年より伸びている。しかし、パソコン・同周辺機器、デジカメの売上は前年比で大きくダウンしている。,・前月に続き、薄型テレビ、ＤＶＤレコーダーが好調で、花粉対策として空気清浄器、残寒のせいでファンヒーター等の暖房器具の売上が前年より伸びている。しかし、パソコン・同周辺機器、デジタルカメラの売上は前年比で大きくダウンしている。
,,□,家電量販店（店長）,単価の動き,・今月も様々なイベントがあり、新製品が続々登場しているにもかかわらず、客の決断はなかなか進まない。,
,,□,乗用車販売店（経営者）,来客数の動き,・年度末の３月の忙しさは例年並みであったが、新規顧客の発生状況や顧客の代替意欲は後退している。,
,,□,乗用車販売店（経理担当）,単価の動き,・季節的要因で全体の販売台数は増加しているが、当社の主力車種である高額車両の割合が下がり、低価格車やミドルクラスのＲＶ車の割合が高まっているため業績としては芳しくない。,
,,□,乗用車販売店（営業担当）,お客様の様子,・販売実績は前年に比較して多少上向いているが、来客数や販売単価などはそれほど良くない。,
,,□,自動車備品販売店（従業員）,来客数の動き,・客は必要な時期に必要な商品だけを購入しており、目的買いの傾向が強い。,
,,□,その他専門店［ガソリンスタンド］（経営者）,単価の動き,・原油の異常高の下でも、業界の過当競争は激しく、仕入高の販売価格への転嫁は非常に難しい。,
,,□,スナック（経営者）,来客数の動き,・月の前半は悪く、後半からはやや良いという感じである。２人、３人連れの来客が目立っており、金額的に締めている感じがする。しかし、客の会話からは少しずつ良くなってきている様子がうかがえる。,
,,□,観光型旅館（経営者）,来客数の動き,・３月中の間近の予約は前半は悪かったものの、中盤から後半にかけて持ち直し、例年並みの予約客数になった。,
,,□,観光型旅館（スタッフ）,来客数の動き,・宿泊人数が前年を下回っている。,
,,□,都市型ホテル（スタッフ）,来客数の動き,・一般宴会の実施件数は減少しているが、客単価の上昇により増収となっている。一方、レストランの通常営業は来客数の減少により減収となり、全体では前年並みとなる見通しである。３か月前と比べるとレストランの通常営業の減収分を一般宴会の増収によりカバーし、ほぼ同額を見込んでいる。,
,,□,テーマパーク（職員）,来客数の動き,・３月の来場者数は前年並みで推移している。,
,,□,美容室（経営者）,来客数の動き,・依然として来店サイクルは延びたままで、結果として来客数が減っている。客単価は営業努力により現状を維持している。,
,,□,住宅販売会社（従業員）,お客様の様子,・３月に入ってから客の動きも大分活発になり、見積の提出により受注が取れるような状況になってきた。,
,,▲,商店街（代表者）,お客様の様子,・悪天候の影響もあって、客に購買意欲があまり感じられない。,
,,▲,百貨店（営業担当）,来客数の動き,・今月の買上客数は前年同月比90％で推移している。子どもの入学式、卒業式用の母親の定番スーツの動きが例年に比べて悪く、客単価も上がっていない。また、気温が前年より低いため、春物衣料が不振である。,
,,▲,百貨店（営業担当）,お客様の様子,・３月は天候不順の影響が大きかった。客の消費行動をみると、月の前半では卒業、入学、進学、就職などのセレモニー需要、中盤では愛知万博の準備など行楽需要があったが、春のトレンドであるファッションを中心とした衣料品、雑貨が前年の８割程度にとどまった。また、必要な物は買うが、遊び心のある商品は後日に回すという客の動きが目立った。,
,,▲,百貨店（営業担当）,販売量の動き,・週末の来客数は前年とほぼ変わらないが、平日はかなりダウンしている。また、週末にしてもカジュアルの洋品の売上が悪く、入学式、卒業式の関連商品は直前になってようやく必要な物だけを買うという傾向がみられる。,
,,▲,スーパー（総務担当）,来客数の動き,・３月は気温が低かったため、衣料部門やホームセンターで来客数が特に減っている。春物商品の不振が目立つ。,・３月は気温が低かったため、衣料部門やホームセンターで来客数が特に減っている。春物商材の不振が目立つ。
,,▲,高級レストラン（スタッフ）,販売量の動き,・個人客の多い洋食店は例年に比べ約110％の来客数であるが、法人客の多い和食店は１組の人数や予算の減少が続いている。,
,,▲,タクシー運転手,来客数の動き,・月の前半は良くなかったが、後半は駅前広場の完成で人出があった。また、送別会など夜の街もにぎわったが、タクシー台数が過剰なため、結果的には良くなかった。,
,,▲,競輪場（職員）,単価の動き,・３月は雪の降る日もあり、来場者数は前年比６％減、１人当たり売上高も同８％減となった。,
,,×,商店街（代表者）,来客数の動き,・年配者は休日に家にいることが多く、買物の中身も食料品などにとどまっている。一方、若者は車でブラブラしながら時間を消費しているだけで、購買意欲がない。,
"企業
動向
関連

(北陸)",,◎,－,－,－,
,,○,食料品製造業（企画担当）,受注量や販売量の動き,・全体の販売量は増加傾向にある。特に新商品の影響が大きい。,
,,○,化学工業（総務担当）,受注量や販売量の動き,・新規の受託製品の売上が順調に伸びている。,
,,○,一般機械器具製造業（経営者）,それ以外,・昨年の12月から３月まで、月を追って成約面、受注面、取引先の動きがともに活発になっている。加えて、新製品が完成し、これが全体売上の40％以上を占めている。,・前年の12月から３月まで、月を追って成約面、受注面、取引先の動きがともに活発になっている。加えて、新製品が完成し、これが全体売上の40％以上を占めている。
,,○,金融業（融資担当）,取引先の様子,・電子部品、鉄鋼、医薬品製造業などでは引き続き受注が上向いている。,
,,□,繊維工業（経営者）,受注量や販売量の動き,・寒さが長引いたことから春物の動きが非常に悪く、婦人衣料が特に厳しい。取引先の発注態度も非常に慎重である。,
,,□,金属製品製造業（経理担当）,受注価格や販売価格の動き,・需要と供給のバランスから、地元の設備投資は弱含みで推移している。,
,,□,精密機械器具製造業（経営者）,取引先の様子,・受注量は増加しているものの、春の新商品展示会に向けての要因が大きく、長期的な上昇傾向にあるとは認識していない。,
,,□,通信業（営業担当）,受注量や販売量の動き,・例年３月は携帯電話の新規受注が増加する月であるが、今年は昨年並みかやや下回る程度の売行きとなっている。,・例年３月は携帯電話の新規受注が増加する月であるが、今年は前年並みかやや下回る程度の売行きとなっている。
,,□,司法書士,取引先の様子,・事業に必要な土地を購入する企業がある一方で、後継者不在のための廃業も数多く見受けられる。,
,,▲,繊維工業（経営者）,受注量や販売量の動き,・暖冬や天候不順もあって、婦人物を中心に衣料関係の動きが悪く、受注の動きも弱い。,
,,▲,電気機械器具製造業（経理担当）,取引先の様子,・取引先では在庫を持つことを極端に嫌っており、発注を控えている。,
,,▲,建設業（経営者）,受注量や販売量の動き,・３月の現場は年度末工期の下請工事の完成に向けて多忙であった。しかし、手持工事量は昨年同月に比較して少なく、また新規工事もそれなりに受注できたものの、発注の少ない４～６月をまかなえるほどの工事量ではなかった。,・３月の現場は年度末工期の下請工事の完成に向けて多忙であった。しかし、手持工事量は前年同月に比較して少なく、また新規工事もそれなりに受注できたものの、発注の少ない４～６月をまかなえるほどの工事量ではなかった。
,,×,建設業（総務担当）,競争相手の様子,・決算期末を控えて、各社とも受注量確保のため、見積、入札の激しい価格競争を続けており、適正な価格による落札が困難な状況にある。,
"雇用
関連

(北陸)",,◎,－,－,－,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・広告件数は３か月前と比べて約40％増加している。季節的要因ではあるが、飲食店などサービス系の業種では、卒業生に代わるアルバイト学生の募集が増えている。また、新規出店による求人も増加している。,
,,○,民間職業紹介機関（経営者）,求職者数の動き,・正社員としての採用者が増加した。,
,,□,人材派遣会社（社員）,求人数の動き,・人材不足状態は依然として続いている。個別企業に限られるが、正社員の求人要請が目に付くようになってきた。,
,,□,職業安定所（職員）,求人数の動き,・求人数は増加基調で推移しているが、その背景としては派遣求人、請負求人が増加していることが挙げられる。非正規雇用求人が増加しても希望者が少なく、雇用のミスマッチが拡大するだけで、雇用環境の改善が厳しい状況にあることに変わりはない。,
,,□,職業安定所（職員）,採用者数の動き,・就職者数が前年比で1.0％減少している。また、最近６か月を前年と比較した場合、マイナス15％からプラス６％までアップダウンがあり、安定性に欠ける。,
,,□,学校［大学］（就職担当）,求職者数の動き,・企業からの求人が早期化しているが、一方では学生の就職活動が長期化している。,
,,▲,新聞社［求人広告］（担当者）,求人数の動き,・１月の求人広告は前年比３割増、２、３月は同１割減と一時の勢いはなく、減少傾向にある。,
,,×,－,－,－,
,,,,,,
　７．近畿（地域別調査機関：りそな総合研究所（株））,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(近畿)",,◎,衣料品専門店（営業・販売担当）,来客数の動き,・既存客の来店回数が増加し、新規客も増加している。,
,,○,百貨店（経理担当）,販売量の動き,・気温の高低差が大きいほか、春物が売れかけると寒くなるという状況が続いており、衣料品は好調とはいえない。しかしイベントを仕掛けると来客数の増加がみられる。,
,,○,百貨店（営業担当）,販売量の動き,・40万～100万円の時計で、ブランドと型番を指定して買う客が急増し、買上金額、数量が伸びた。,
,,○,コンビニ（経営者）,来客数の動き,・米飯の伸びが、飲料、惣菜、たばこなどの関連販売につながり、またファーストフードの販促も功を奏している。とりわけ飲料に関しては、販促合戦に拍車がかかり、マスコット欲しさにまとめ買いもみられる。,
,,○,乗用車販売店（営業担当）,お客様の様子,・車を購入する客が増えてきた。また納車前に全額支払をする客や会社が見受けられた。,
,,○,観光型旅館（経営者）,販売量の動き,・世界遺産登録ブームが落ち着いたかと思われる一方、３、４月の予約状況が前年比20％増となるなど、予約は好調である。,・世界遺産登録ブームが落ち着いたかと思う一方、３、４月の予約状況が前年比20％増となるなど、予約は好調である。
,,○,都市型ホテル（営業担当）,来客数の動き,"・宿泊に関しては前月に引き続き好調で、前年の売上に届く予想である。なかでも、客室単価の低いアジアの団体やインターネット等によって稼働が上がっており、稼働率は既に前年を上回っている。
・宴会に関しては、一般宴会が良かった前年には届かないものの、婚礼が久々に件数が伸び、売上が予算に届きそうである。",
,,○,旅行代理店（店長）,来客数の動き,・今年は若者のスキーやスノーボードの動きが例年以上に活発で、近郊の日帰りバスツアーがかなり増加した。,
,,○,旅行代理店（広報担当）,販売量の動き,・３月から４月の取扱人員が国内、海外とも昨年と比較して１割前後増加している。特に、３月に入って愛知万博への日帰りツアーなどが好調である。これらは廉価商品であるが、販売額の総額でも昨年を上回っている。,・３月から４月の取扱人員が国内、海外とも前年と比較して１割前後増加している。特に、３月に入って愛知万博への日帰りツアーなどが好調である。これらは廉価商品であるが、販売額の総額でも前年を上回っている。
,,○,タクシー運転手,お客様の様子,・単価自体は小さいが、乗車機会は増えているように感じられる。,
,,○,通信会社（営業担当）,販売量の動き,・春商戦で盛り上がり、新商品、新サービスに支えられて前年と比べても売れている。,
,,○,その他サービス［ビデオ・ＣＤレンタル］（エリア担当）,販売量の動き,・商品の大量投入もあり、物販に比べて既存店レンタル売上は好調である。,
,,○,住宅販売会社（経営者）,単価の動き,・先月より引き続き、商業地及び駅近隣の土地相場が上昇傾向にある。物件の品薄感もあるが、新規出店、住宅購入などの需要が強い状態が続いている。,・前月より引き続き、商業地及び駅近隣の土地相場が上昇傾向にある。物件の品薄感もあるが、新規出店、住宅購入などの需要が強い状態が続いている。
,,○,その他住宅［情報誌］（編集者）,お客様の様子,・新築マンションの販売状況は年明け以降順調に推移している。例年、年度末にみられる竣工在庫物件の値引き営業などはあまりみられず、予想以上の好調さで在庫が減少している。,
,,□,一般小売店［衣服］（経営者）,競争相手の様子,・商店街、ショッピングセンター等の創業30～40年近くの店舗が廃業の道を選ぶ傾向が増えてきた。,
,,□,一般小売店［文具］（経営者）,単価の動き,・セールで格安の価格になると、驚くほど購買意欲が生まれている。,
,,□,百貨店（売場主任）,販売量の動き,・気候の影響で、春物アイテムが非常に低調な滑り出しとなっている。ただ、化粧品やハンカチ、アクセサリー等のホワイトデーギフトアイテム、食料品などの季節品以外の商品については、前年と同様の売上を維持している。,
,,□,百貨店（売場主任）,販売量の動き,・春物衣料品にヒット商品が見当たらず、販売数量は前年を２ケタ下回っている。特に、難波地区は梅田地区の商業集積の影響が大きく、来客数の減少に伴い販売数量が大きく減少している。健康や美などをキーワードにした商品は瞬間的に大ヒット商品となるが、一過性のものも多く、全体のけん引役にはなっていない。,・春物衣料品にヒット商品が見当たらず、販売数量は前年を２けた下回っている。特に、難波地区は梅田地区の商業集積の影響が大きく、来客数の減少に伴い販売数量が大きく減少している。健康や美などをキーワードにした商品は瞬間的に大ヒット商品となるが、一過性のものも多く、全体のけん引役にはなっていない。
,,□,百貨店（営業担当）,単価の動き,・宝飾品に関しては100万円以上の商品は動きが鈍く、20万～30万円の商品についてはある程度動きが出てきている。,
,,□,百貨店（サービス担当）,お客様の様子,・新しいブランドショップを導入するなど、オープン効果もあり好調に推移しているが、その他は衣料を中心に前年比約10％減と苦しく、全体的な傾向は変わらない。,
,,□,スーパー（企画担当）,それ以外,・昨年は消費税総額表示の導入があったため、前年よりも売上は伸びた。,・前年は消費税総額表示の導入があったため、前年よりも売上は伸びた。
,,□,スーパー（経理担当）,お客様の様子,・駅前の商業施設に新規出店したが、買上個数が非常に少なく、売上にプラスとなる状況ではなかった。,
,,□,スーパー（経理担当）,販売量の動き,・３月の出足は好調であったが、中旬以降雨が多かったこともあり、売上は伸び悩み気味である。,
,,□,スーパー（広報担当）,販売量の動き,・花粉関連商品など、一部好調な動きの商品はあるものの、全体として低調な動きである。,
,,□,家電量販店（企画担当）,単価の動き,・相変わらずデジタル関連は好調であるが、液晶テレビ、デジタルカメラ、ＤＶＤは単価の下落が激しい。今月は独り立ち需要に期待があったが、高額セットはあまり出ず、生活に必要な最低限度のセットに集中した。,
,,□,その他専門店［医薬品］（経営者）,それ以外,・最近の健康食品ブームで、テレビで特集があった翌日にはその商品の動きが非常に活発になる。,
,,□,その他専門店［医薬品］（店員）,単価の動き,・来客数は若干増加しており、花粉症関連商品が一時的によく出た時期もあったが、その後に変化はない。,
,,□,スナック（経営者）,お客様の様子,・近頃は客の方から何名でいくらと値段を指定してくるようになってきた。こちらもそれに対応している。,
,,□,観光型ホテル（経営者）,それ以外,・今月も来客数は前年を上回っているが、売上高は下回った。１人当たりの宿泊単価、宿泊に伴う消費が相当減少している。特に２次会利用等が激減している。,
,,□,都市型ホテル（支配人）,販売量の動き,・桜の開花が昨年より一週間程度遅く、レストラン、喫茶部門の売上が前年に比べて低調であるが、大きな変化はない。,・桜の開花が前年より一週間程度遅く、レストラン、喫茶部門の売上が前年に比べて低調であるが、大きな変化はない。
,,□,都市型ホテル（スタッフ）,来客数の動き,・宿泊は悲観的に見込んでいたが、春休みから、観光客を中心に若干であるが前年を上回ってきた。大阪市内の競合他社も同様である。婚礼も件数は減少しているが、単価が大幅にアップし、収入では前年並みに落ち着いた。,
,,□,タクシー運転手,お客様の様子,・春休みの期間に入り、大型テーマパークをはじめとした観光客の増加が期待されたが、顕著な増加傾向はみられない。また、流し営業での客の乗車機会の増加傾向も加速感がなく、現状維持で推移している。,・春休みの期間に入り、大型テーマパークを始めとした観光客の増加が期待されたが、顕著な増加傾向はみられない。また、流し営業での客の乗車機会の増加傾向も加速感がなく、現状維持で推移している。
,,□,タクシー会社（経営者）,お客様の様子,・年度末であるが客の動きがない。夜の客が減少しており、最終電車に間に合うように急ぐ人が多い。,
,,□,通信会社（社員）,単価の動き,・初期費用の減額を再度行う予定であるが、光ファイバー事業者との競合が激しくなりつつある。,
,,□,その他レジャー施設［イベントホール］（職員）,販売量の動き,・このところ稼働日数は好調を維持している。今月も毎年恒例の催事が開催された一方、新規のコンサートも開催されるなど順調であった。,
,,□,その他レジャー施設［球場］（経理担当）,来客数の動き,・野球シーズンが始まったものの、試合数半減の影響と新球団の集客力が不透明である。,
,,□,住宅販売会社（従業員）,お客様の様子,・マンションの契約率が好調の目安である初月70％を切る物件が増えてきている。ただし竣工までには完売の目途が立っている物件が多く、完成在庫が増えるまでには至っていない。,
,,▲,商店街（代表者）,お客様の様子,・寒い日が多く客の引きが早いため、１日のなかで一瞬しかにぎわいがない。,
,,▲,一般小売店［時計］（経営者）,来客数の動き,・近隣の大型ショッピングセンターの開店が間近になり、オープンに向けた優待券等が地域に配布されているので、それを目当てに買い控えが起きている。,
,,▲,百貨店（売場主任）,お客様の様子,・気温が低めで推移したことと、ヒット商品不在で顧客の購買意欲も低く、春商戦は大苦戦している。,
,,▲,百貨店（売場主任）,お客様の様子,・春物商品の動きが衣料、雑貨ともに鈍い状況である。また子供関連商品も引き続き厳しい状況にある。,・春物商材の動きが衣料、雑貨ともに鈍い状況である。また子供関連商品も引き続き厳しい状況にある。
,,▲,百貨店（企画担当）,来客数の動き,・一部フロアを改装したものの、ほとんど効果がみられない。,
,,▲,百貨店（統括）,販売量の動き,・改装を行った部門の売上前年比を３か月前と比べると２～５％の改善がみられるものの、衣料品全般の春物の動きが悪く、全体の足を引っ張っている。,
,,▲,スーパー（店長）,来客数の動き,・日が長くなり、通常なら午後からの来客数が伸びるはずが、伸びずに売上に影響している。,
,,▲,コンビニ（経営者）,販売量の動き,・イベント関連商品の売上が以前より悪くなっており、今月ではホワイトデー関連商品がかなり売れ残った。,
,,▲,家電量販店（店長）,販売量の動き,"・引っ越し、ブライダルのシーズンでもあるが、少子化の影響もあるのかシングル需要はあまり伸びていない。
・ＡＶ商品がパソコンや白物商品の落ち込みをカバーしている状況に変わりはない。そのほか、個人情報保護法の関係でシュレッダーの売行きがよく、花粉の影響で空気清浄器もよく売れているが、全体をけん引する力はない。",
,,▲,乗用車販売店（経営者）,販売量の動き,・例年なら自動車業界は３月が決算月なのでもっと忙しいが、今年は暇である。また、新車販売だけでなくサービス部門も目標が上がっていない。,
,,▲,観光型旅館（経営者）,来客数の動き,・雪で凍結の恐れがある道路状況で、週末は思わしくない状況が続いた。更に、前年と比較して入館者が減少しているほか、客単価も下がった。,・雪で凍結の恐れがある道路状況で、週末は思わしくない状況が続いた。さらに、前年と比較して入館者が減少しているほか、客単価も下がった。
,,▲,観光型旅館（経営者）,来客数の動き,・例年と比較しても客が全く動かない。愛知万博があるため今は外出するのを控えている。値段を安くしたり宣伝を増やしたりしているが、効果が全くない。,
,,▲,都市型ホテル（役員）,来客数の動き,・年末年始をピークに来客数の伸びは低下している。宿泊部門は愛知万博への流出が考えられるほか、レストラン部門は近隣の新設飲食施設へ客が流出している。,
,,▲,タクシー運転手,来客数の動き,・例年３月後半は人事異動による挨拶回りのための利用が入っていたが、今年は入っていない。,
,,×,スーパー（経営者）,それ以外,・昨年は消費税総額表示の導入前で販売促進を強化していたため、その反動で売上の前年比が非常に伸びにくい。その上、週末を中心に天候が悪く、販促策が空回りに終わったことで、２月に引き続き非常に悪い。,・前年は消費税総額表示の導入前で販売促進を強化していたため、その反動で売上の前年比が非常に伸びにくい。その上、週末を中心に天候が悪く、販促策が空回りに終わったことで、２月に引き続き非常に悪い。
"企業
動向
関連

(近畿)",,◎,一般機械器具製造業（経営者）,取引先の様子,・取引先の航空機、鉄道車両の両方の業界ともに、17年度は好調との説明があった。,
,,○,出版・印刷・同関連産業（情報企画担当）,受注量や販売量の動き,・大学関係、専門学校、予備校からの新学年用の資料作成などが好調である。そのほか、住宅関係は広報予算が縮小傾向にあるものの、医療関係は堅調であり、弱電関係の企業においても新製品等の影響で受注が拡大している。,
,,○,電気機械器具製造業（営業担当）,受注量や販売量の動き,・通常は競争見積が多いが、価格指し値の特命物件が以前より増えた。,
,,○,輸送業（営業所長）,受注量や販売量の動き,・年度末に入り貨物が活発に動き始めた。特にコピー機や事務機器などオフィス機器関連の入替え等が好調で、車が足りないほどである。,
,,○,金融業（営業担当）,取引先の様子,・建機部品製造業、化粧品等の瓶卸売業等が過去最高の売上を達成している。,
,,○,不動産業（営業担当）,取引先の様子,・神戸市内の繁華街の土地もまだ下げ止まっておらず、３％ほどの下落がみられるが、実勢価格は上昇しており、路線価の1.5倍の値段を出さないと買えない状況になってきている。,
,,○,新聞販売店［広告］（店主）,受注量や販売量の動き,・折込広告は、数量は横ばいでも金額ベースで伸びている。サイズが大きくなったり、紙の質を良くしたり、チラシそのものにお金をかける傾向にある。,
,,□,金属製品製造業（経営者）,取引先の様子,・同じ鉄鋼関連であっても自動車関連とそれ以外、特殊品と標準品のように、業種や商品により動きが異なってきている。,
,,□,電気機械器具製造業（宣伝担当）,受注量や販売量の動き,・引き続き好調な薄型テレビに加え、今年の大量花粉の影響により空気清浄機の荷動きも堅調な推移を示している。,
,,□,建設業（経営者）,受注量や販売量の動き,・昨年に比べると受注量が増えていない。引き合いはあるが、受注に結びつくまでには至らない。,・前年に比べると受注量が増えていない。引き合いはあるが、受注に結びつくまでには至らない。
,,□,輸送業（営業担当）,受注量や販売量の動き,・大手荷主の荷動きは年度末にかけて駆け込みが予想されたが、相変わらず定期便、不定期の特便とも悪く、外販も芳しくない。,
,,□,コピーサービス業（従業員）,受注量や販売量の動き,・来月から施行される個人情報保護法に伴い、セキュリティについて問い合わせを行う企業が出始めており、同業他社から流れてくるオーダーの受注が多少あった。,
,,□,その他非製造業［機械器具卸］（経営者）,取引先の様子,・材料の値上げなどで商品も値上げされ始めたが、値上げ通知を行うだけで、商品はあまり動かない。,
,,▲,化学工業（経営者）,受注量や販売量の動き,・例年２月末から３月にかけて受注量が大きく増えるが、各メーカーの在庫調整が長引いており受注が増えない。,
,,▲,輸送業（営業担当）,取引先の様子,・家具業界の動きは依然好調であるが、飲料水業界についてはトラックの台数が昨年の５分の１に減っている。自社便を利用する等、経費削減が大きく影響している。,・家具業界の動きは依然好調であるが、飲料水業界についてはトラックの台数が前年の５分の１に減っている。自社便を利用する等、経費削減が大きく影響している。
,,×,金属製品製造業（管理担当）,受注量や販売量の動き,・鋼材の仕入価格が高騰し、販売価格を段階的に見直してきたが、受注量が激減し、月別の販売量、売上が今年に入ってから毎月悪化し続けている。,
"雇用
関連

(近畿)",,◎,＊,＊,＊,
,,○,人材派遣会社（社員）,求人数の動き,・年度末、新年度に向けた求人依頼が堅調な伸びを示しているが、企業の要求するスキルを持ったスタッフが少なく、マッチング率が低下傾向にある。,
,,○,求人情報誌製作会社（営業担当）,求人数の動き,・特に新卒採用では採用活動の継続や再開傾向が依然強く、企業の求人意欲が大いに高まっている。,
,,□,人材派遣会社（経営者）,求人数の動き,・年度末の影響も一段落しつつある。新年度の方向性を探っている企業も多いなかで、相変わらず求人数は多いものの、求職者が集まらない状況である。,
,,□,人材派遣会社（社員）,雇用形態の様子,・派遣の要請は後を絶たないが、正社員前提の紹介予定派遣や人材紹介の案件はあまりみられない。,
,,□,新聞社［求人広告］（営業担当）,雇用形態の様子,・季節的要因なのか、ビルメンテナンス関係の設備技術者の募集が昨年より多く感じられた。,・季節的要因なのか、ビルメンテナンス関係の設備技術者の募集が前年より多く感じられた。
,,□,職業安定所（職員）,求職者数の動き,・新規求職者数については、男女とも25～29歳及びその年齢の周辺が最も多く、自発的理由による離職が最も多い。,
,,□,学校［大学］（就職担当）,求人数の動き,・盛んに採用増が報じられているが、求人依頼数等をみると、現場ではまだ実感として感じられない。,
,,▲,新聞社［求人広告］（担当者）,周辺企業の様子,・３月中旬頃から企業の反応が悪く、採用計画を見直す傾向にある。定期採用で対応するという計画もあると思われるが、動きは鈍くなっている。,・３月中旬頃から企業の反応が悪く、採用計画を見直す傾向にある。定期採用で対応するという計画もあると思うが、動きは鈍くなっている。
,,▲,新聞社［求人広告］（担当者）,それ以外,・新聞広告出稿量が昨年に比べてかなり悪い。新聞印刷可能なフルページ数を達成した日も数えるほどしかない。,・新聞広告出稿量が前年に比べてかなり悪い。新聞印刷可能なフルページ数を達成した日も数えるほどしかない。
,,▲,職業安定所（職員）,雇用形態の様子,・求人数全体のなかで、一般求人の増加が３月についてはみられない。パート求人は、１月、２月の水準を維持しており、求人数全体も前月までの水準を維持していることから、結果的にパートの比率が少し拡大している。,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数の前年比は、平成15年７月以来続いていた増加が一転して減少となった。特にサービス業においては29か月ぶりの減少となった。派遣、請負求人の伸び率の鈍化が要因となっている。,
,,▲,職業安定所（職員）,求人数の動き,・求人１件当たりの求人数が減少しており、雇用に対する事業主の慎重な姿勢がみられる。また、余剰人員を抱えていない状況での欠員補充求人が多いため、即戦力を求める傾向が顕著になっている。,
,,×,－,－,－,
,,,,,,
　８．中国（地域別調査機関：（社）中国地方総合研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(中国)",,◎,一般レストラン（店長）,来客数の動き,・２、３か月前と比べ、来客数が２％程度上昇している。さらに依然はなかった若いグループが増加している上に、今後の予約状況もよい。,
,,○,百貨店（売場担当）,単価の動き,"・単品購入客にセット購入を提案すると、ほぼ確実にセット販売につながった。
・客単価が前年対比156％と推移するなど、客数、客単価とも上昇している。",
,,○,百貨店（売場担当）,販売量の動き,"・３か月前と比べ、競合他社が苦戦する中、前年対比の数値が改善傾向にある。
・特にヤングキャリアをはじめ、サンダルを除いていずれも前年並みに推移している。","・３か月前と比べ、競合他社が苦戦する中、前年対比の数値が改善傾向にある。
・特にヤングキャリアを始め、サンダルを除いていずれも前年並みに推移している。"
,,○,百貨店（販売担当）,販売量の動き,・リニューアル実施により、売上、客数ともに、大幅に増加している。,
,,○,スーパー（店長）,販売量の動き,・ここ数か月、売上が前年対比102％で推移していたが、今月に入り105％に上昇した。販売点数が前年と比べ107％と大幅上昇したことが要因である。,
,,○,コンビニ（エリア担当）,来客数の動き,・３か月前と比較すると、売上は2.8％の上昇となっており、特に客数が3.2％の上昇、単価は全くの横ばいであり、客数・売上で見るとやや良くなってきている。,
,,○,衣料品専門店（地域ブロック長）,単価の動き,"・フレッシュマン関連商材の動きが良く、来店客数も多い。
・低価格のものより、セットで５万円から６万円という価格帯のものが売れている。",
,,○,家電量販店（予算担当）,販売量の動き,・売上においては前年比105％と順調に推移している。エアークリーナーが前年の２倍近い伸びを示しており、季節商品が前年アップに貢献している。,・売上においては前年比105％と順調に推移している。エアークリーナーが前年の２倍近い伸びを示しており、季節商材が前年アップに貢献している。
,,○,乗用車販売店（経営者）,販売量の動き,・３月に入り、決算期のため、やや法人需要が高まり、これから先は不透明であるものの、前年より売上は増加した。,
,,○,乗用車販売店（統括）,来客数の動き,・新商品の発売ということもあるが、新規の来店数が増加傾向にある。,
,,○,乗用車販売店（サービス担当）,販売量の動き,・新車の販売量は、前年の販売量と比較して、110％から120％の範囲で上昇している。,
,,○,自動車備品販売店（経営者）,販売量の動き,・天候の影響を受ける商品の動きは別にして、好調とはいえないまでも高額品（ナビゲーション等）を中心にして堅調に推移している。,
,,○,一般レストラン（店長）,来客数の動き,・下げ止まりの兆しがみられる。客数前年対比二桁増の店舗が増えている。新しい飲食店の進出も増えている中、我が社は良い方向に向かっている。,・下げ止まりの兆しがみられる。客数前年対比二けた増の店舗が増えている。新しい飲食店の進出も増えている中、我が社は良い方向に向かっている。
,,○,その他飲食［ハンバーガー］（経営者）,来客数の動き,・プロモーション効果もあり売上、客数ともに二桁の伸びとなっている。上昇傾向は今月も続いている。,・プロモーション効果もあり売上、客数ともに二けたの伸びとなっている。上昇傾向は今月も続いている。
,,○,旅行代理店（営業担当）,来客数の動き,・万博開幕により、需要を喚起できた。,
,,○,タクシー運転手,販売量の動き,"・ここ４か月間、いずれも前年同時期を上回るという売上状況は、ここ10年なかった傾向である。
・歓送迎会シーズンであるが、顧客の出足は少ないように見えても、売上が伸びていることから、景気が回復傾向であると初めて実感している。",
,,○,美容室（経営者）,来客数の動き,・謝恩会需要などが多かった。,
,,□,商店街（代表者）,来客数の動き,・学生服など季節的に動く商品を扱っている店舗はいい様だが、例年に比べて来客数の減少及び購買価格の減少がみられる。,
