,,▲,建設業（経営者）,受注量や販売量の動き,・冬季に入り受注量が少なくなっている。また、工事の規模も小さくなっているようである。,
,,▲,金融業（調査担当）,取引先の様子,・製造業など受注は堅調であるものの、米中貿易摩擦の影響が、一部の景況感を低下させている。,
,,×,食料品製造業（製造担当）,競争相手の様子,・当社と同様に県内同業者も、売上、販売点数が落ち込んできている。,
"雇用
関連

(甲信越)",,◎,－,－,－,
,,○,職業安定所（職員）,求人数の動き,・12月からの新規求人が、前年度を更に上回っている。,
,,□,人材派遣会社（営業担当）,求人数の動き,・職安等の案件も例年に比べて少ないなかで、スキルや給与の条件が合わないという相談も多い。,
,,□,求人情報誌製作会社（経営者）,周辺企業の様子,・求人数は引き続き増加傾向である。周辺の大手製造業の何社かは、求人チラシを新聞折込して、積極的に募集をしている。,
,,□,職業安定所（職員）,求人数の動き,・有効求人倍率は２倍を超えてきたが、新規求人は更新時期のずれや募集人員を抑え気味の傾向もみられ、全体で2.7％の減少である。求職者にも活発な動きは見られず、新規求職は、在職者が12％の減少で、全体では11.2％の減少となっている。,
,,□,職業安定所（職員）,求人数の動き,・有効求人倍率は1.67倍と３か月前と比べて0.03ポイント上昇しているものの、求人数に大きな変動はない。製造業における直接雇用求人がやや減少傾向にあり、その分、派遣求人が増加しているようである。,
,,▲,＊,＊,＊,
,,×,－,－,－,
,,,,,,
　６．東海（地域別調査機関：三菱ＵＦＪリサーチ＆コンサルティング株式会社）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東海)",,◎,乗用車販売店（営業担当）,販売量の動き,・前年末から引き続き好調を維持できており、20日時点で目標はクリアした。それでいて先の見込み客もある程度読めており、見通しは明るい。,
,,○,商店街（代表者）,お客様の様子,・景気は良くなっているという客もあり、前向きに考えている。,
,,○,一般小売店［結納品］（経営者）,販売量の動き,・年が明けて少しは良くなったと思うが、まだまだ個人消費は低迷している。,
,,○,一般小売店［土産］（経営者）,来客数の動き,・１月中は好天に恵まれ、この地域への来訪客も多く活気があった。客の顔色も良く財布のひもも緩みがちのようである。,
,,○,コンビニ（企画担当）,販売量の動き,・鉄道利用客数が伸びており、駅ナカの店舗は比較的好調な状況である。天候も安定しているので、来客数にも大きな落ち込みはない。,
,,○,コンビニ（エリア担当）,来客数の動き,・来客数がやや前年を上回り始めた。,
,,○,乗用車販売店（経営者）,販売量の動き,・販売が好調である。来店客も多く決断も早い。やはりこの時期の需要は大きい。,
,,○,乗用車販売店（従業員）,販売量の動き,・単純に車が売れている。消費税引上げの影響で駆け込み需要が始まっているとも考えているが、景気はやや良くなっている。,
,,○,乗用車販売店（営業担当）,販売量の動き,・初売りで目標が達成でき、初売り以降も受注が安定している。,
,,○,一般レストラン（経営者）,販売量の動き,・今月は、前年に比べ少しだけ売上は増えている。来客数も増え購買量も多い気がする。,
,,○,旅行代理店（経営者）,お客様の様子,・2019年も１か月が過ぎ、今年の夏旅行の問合せが増えてきている。ゴールデンウィークの10連休よりも、子供とゆっくり時間が取れる夏休みを利用して家族の節目の旅を計画したり、夫婦の記念旅行を計画したり、趣味のゴルフをなかなか取れない名門ゴルフ場でプレイしたいと計画する話などがあり、景気は上向きのような傾向である。,
,,○,旅行代理店（営業担当）,単価の動き,・連休の日並びが良く、旅行内容がより遠方へより長期へと、例年よりも高額な商品の販売が顕著になった。年末年始の実績、ゴールデンウィークの予約共に、そのような傾向であった。,
,,○,タクシー運転手,お客様の様子,・今年の正月は天候に恵まれ、初詣の客は好調で買物客も多くまあまあであった。忘年会シーズンに比べると新年会は少なく夜の客は少なかったが、１月の売上はまあまあ良かった。,
,,○,通信会社（サービス担当）,販売量の動き,・光回線の新規申込みが増加した。,
,,○,通信会社（営業担当）,販売量の動き,・ガラケーからスマートフォンへの機種変更が進んでいる。,
,,○,ゴルフ場（支配人）,来客数の動き,・今月は天候にも恵まれて絶好調である。前年同月もそこそこの実績があったが、それを入場者数、売上共に上回りそうである。３か月前も好調であったが、予算比の入場者数では、その時期を上回っている。,
,,○,その他住宅［不動産賃貸及び売買］（営業）,単価の動き,・当社のシステムが変わり業務分掌を明確にしたことで、各部署とも少しずつ上向き傾向になりつつある。,
,,□,商店街（代表者）,販売量の動き,・客が気に入れば売上は増えるし、客が気に入るかどうかや単価等によって、売上が左右されている。,
,,□,一般小売店［高級精肉］（企画担当）,販売量の動き,・景況感は低調であるが、天候悪化でもなく薄雲の中をいくような感じである。世界の環境変化によって雨が降るのか、晴れるのか、当社にとって景況感は大切である。,
,,□,一般小売店［薬局］（経営者）,来客数の動き,・年末年始の売出しが終わった１月中旬以降は、極端に客足が落ち、来客数、売上共に激減状態である。客は年末年始の出費が多く余裕資金がない状態と思われる。調剤部門も年末の駆け込みで来客数は落ちている。ただし、インフルエンザの流行で一部の内科医院は活況である。,
,,□,一般小売店［贈答品］（経営者）,お客様の様子,・お歳暮の商戦が終わり業界としては新年度が始まった。法人関係は、１月になって大手を中心に活発な動きで贈答品にも注文があるが、個人の付き合いの幅は狭くなっており、個人客の売上は伸びていない。店とすれば売上は変わらない状況でバランスが良い意味で取れているが、法人客が良く個人客は伸びない。そして、その間ぐらいに店がいる。企業向けに特化している店は伸びているが、個人に特化している店やギフト商材は伸びていない。当店は両方やっているので、両方をみて変わらない状況が今月も続いている。,
,,□,一般小売店［書店］（営業担当）,販売量の動き,・一時期は落ち着いていた年度末向けの受注量が、ここしばらくは増えている。,
,,□,百貨店（経理担当）,販売量の動き,・月初めの福袋販売は順調に推移したものの、暖冬の影響もありクリアランスの中心である衣料品の動きが鈍かった。下旬になり冷え込んだため、防寒着の動きが良くなった。,
,,□,百貨店（経理担当）,お客様の様子,・世界経済の急減速と企業業績の悪化がみられるものの、今のところ、法人需要に大きな変動はみられない。,
,,□,百貨店（経営企画担当）,お客様の様子,・高額富裕層向けの宝飾や海外特選ブランドの動きは好調であるものの、クリアランスセールは、暖冬もあり、重衣料を中心に苦戦し売上が厳しい。インバウンドも為替の影響なのか、それとも米中貿易関連かは分からないが、伸び率が小さくなっている。,
,,□,百貨店（業績管理担当）,販売量の動き,・客の買物には絞り込み若しくは目的買いがみられる。希望する商品を購入したら、店内を回遊するのではなくすぐに帰宅する。,
,,□,百貨店（販売担当）,お客様の様子,・自家需要の動きが鈍く、テナントビルのクリアランスでセール品を購入する客は慎重であった。ギフト需要は高く、成人祝いに購入され高単価商品が稼働している。インバウンドはほとんどなく、観光客も減少している。,
,,□,スーパー（店員）,単価の動き,・天候が大崩れするようなことはなく、売上や来客数などの動きは順調だが、年末に比べると弱くなっている。鍋などの食材もあるが、豚肉など安価な物の方が売れている。,
,,□,スーパー（商品開発担当）,来客数の動き,・来客数は２か月連続で前年比100％を達成することができた。売上も予算比、前年比共に100％を達成できそうである。,
,,□,スーパー（販売担当）,販売量の動き,・一部の商品で２個で幾らといったバンドル販売をしており、それが好調である。節分の恵方巻の予約数が目標達成したが、売上は前年比100％には届かない。,
,,□,スーパー（経営企画担当）,来客数の動き,・特に増減はない。,
,,□,スーパー（商品管理担当）,単価の動き,・気温が下がる日が少なく、本来売れるべき商品が売れていない。単価も変化はない。,
,,□,コンビニ（エリア担当）,販売量の動き,・重点商品群のちゅう房製造の米飯商品の前年比売上が、前月と比較して３％下がっている。ただし、季節の果物を使用した商品群で多少カバーでき、全体の営業数値は前月と比較してプラスマイナス１％以内の動きで推移している。,
,,□,コンビニ（エリア担当）,販売量の動き,・年末年始の後の買い控えと、寒さの強まりによる来客数の鈍化は否めないが、その分買上単価が上昇している。,
,,□,コンビニ（店長）,来客数の動き,・前年比で１日当たり来客数の減少が続いている。それに伴って売上も減少しているので、特に景気が良くなっているというような感じではない。,
,,□,コンビニ（本部管理担当）,来客数の動き,・１月の全国加盟店の実績は前年比100.2％という状況で、来客数にも客単価にも大きな変化はない。この状況は数か月継続しており、直近に関して大きな変化は感じない。,
,,□,衣料品専門店（売場担当）,それ以外,・外商部門に関しては特段大きな変化がみられない。テナント事業についても、３か月前と比較して改善はしていない。,
,,□,家電量販店（店員）,販売量の動き,・４Ｋ放送が始まりテレビの買換えが多くなっているが、全体の売上を押し上げるほどではない。,
,,□,家電量販店（フランチャイズ経営者）,単価の動き,・年末年始にかけてテレビの販売単価が上がっている。地上デジタル放送切替えから７年たち、テレビの買換えサイクルが始まるタイミングで４Ｋ放送も始まり、高単価・大画面テレビが売りやすくなっている。また、パソコンの買換え需要も堅調である。,
,,□,乗用車販売店（従業員）,販売量の動き,・販売がまあまあ好調である。ここ２～３か月ずっと良い感じなので、こういうものかという気もしてきた。ただし、まあまあ良いという感じで、非常に良いという感じではない。単価の動きでも、オークション相場や販売相場は、全体的に少し高かったかもしれない。販売台数で判断しているが、全体的に良い感じで続いている。,
,,□,乗用車販売店（従業員）,販売量の動き,・１月の販売計画台数を達成している店舗は少ない。月初めの初売りは好調だったが続かず、苦戦している。,
,,□,乗用車販売店（従業員）,販売量の動き,・新年の挨拶で客を訪問する機会が多かったが、客からはなかなか明るい話題も出てこず、こちらも商談に入るきっかけをつかみきれず、まだまだ景気が上向いたと感じられない。,
,,□,乗用車販売店（従業員）,販売量の動き,・月初めより非常に売行きが良く中間目標を達成していたが、月末に向けて失速し、ほぼ目標どおりの達成率となった。４月よりエコカー減税の基準が変わり、税額が上がることが周知されてきた模様で、駆け込み購入が始まっているようにみえる。ただし、当社と付き合いのない客の動きは鈍いため、全体的にみると景気が良いようには感じられない。,
,,□,住関連専門店（営業担当）,お客様の様子,・新築マンション、戸建て住宅共に、消費税の増税があり、様子見状態が続いている。大規模改修工事、住宅他の小規模リニューアル工事等が多い。,
,,□,その他専門店［書籍］（店員）,単価の動き,・年始は天候に恵まれ来客数が多く売上も好調だったが、10日以降は、その反動から客足が落ち着いてきたため、売上を伸ばすことができなかった。,
,,□,高級レストラン（経営企画）,来客数の動き,・正月三が日は過去最高の売上となる一方で、平日は前年割れの状況である。利用動機や時期により単価も高くなり、メリハリのある利用である。また、新年会などの宴会は１組当たりの人数が減っているように思われる。,
,,□,一般レストラン（経営者）,お客様の様子,・景気が良いといわれ６年になるが、景気が良い業界が限られている。客層、業界の分布でそのような傾向が出ている。,
,,□,一般レストラン（従業員）,来客数の動き,・１月は新年会などの会合が多かったが２月からは暇になる。,
,,□,観光型ホテル（支配人）,来客数の動き,・客室、宿泊宴会共に前年と比べると、前年は全体の１割ほどを占める大型宴会があったため、その分マイナスとなる見込みである。一般宴会も当初の見込みより伸びがなく減少傾向で、全社的にもやや悪い状況が続いている。,
,,□,都市型ホテル（営業担当）,単価の動き,・宿泊客、レストラン、宴会場共に好調に推移しており、単価も好調で当面は変わりそうにない。訪日外国人客で大きく左右されそうな状況である。,
,,□,旅行代理店（経営者）,販売量の動き,・暮れから今月にかけて余りにも寒いので、客の動きは鈍い。,
,,□,旅行代理店（経営者）,販売量の動き,・例年は年が明けると今年の分の問合せが増えるが、件数が少ないままである。仕入先に聞いても同じようである。,
,,□,旅行代理店（経営者）,それ以外,・ターミナル駅前の飲食店でも、繁盛店と客のいない店の差が大きくなりつつある。来店はあるが買物をしない店舗など厳しい状況である。,
,,□,旅行代理店（営業担当）,お客様の様子,・インフルエンザの大流行で、旅行中止や旅行参加人数の減少などマイナス要因が続いている。わざわざ人ごみの多い観光地には行かないとか、密閉空間の多い乗り物のバスでは旅行しないなど、旅行を控える人が多くなってきている。来店数もめっきり減っている。,
,,□,タクシー運転手,お客様の様子,・外交面での国の対応や消費税の引上げで、政府への不信を口にする客が多い。,
,,□,タクシー運転手,来客数の動き,・相変わらず夜の繁華街は人出がない。タクシー業が忙しくなれば飲食店も忙しくなるが、飲食店の経営者からは、暇だ、客が来ない等と耳にし、良くなっているような話を聞かない。,
,,□,タクシー運転手,お客様の様子,・寒くなってもう少し利用があると思ったが、食事会後の二次会はなく早めに帰り、タクシーの利用が伸びていない。,
,,□,テーマパーク職員（総務担当）,販売量の動き,・１月の入園者数は計画を上回るが、物品販売の売上は入園者数の伸び率と比べ鈍い。,
,,□,美容室（経営者）,来客数の動き,・年末に来店している客が多いので、今月はその分少ない。,
,,□,設計事務所（経営者）,来客数の動き,・計画案件が若干増加しているが、小規模な案件が多く全体の収入アップにはならない。,
,,□,住宅販売会社（経営者）,お客様の様子,・消費税が上がる前に契約をしようとする客が少しある。,
,,□,住宅販売会社（従業員）,販売量の動き,・横ばい状態で大きな変化はみられない。,
,,□,住宅販売会社（従業員）,競争相手の様子,・今に始まったことではないが、他社からの情報では、集合住宅の受注が激減していると聞く。,
,,▲,商店街（代表者）,販売量の動き,・非常に微妙な状況である。前年末に15％の値上げをしているので、全体的に販売量は低下しているが売上は６％上昇している。,
,,▲,一般小売店［生花］（経営者）,来客数の動き,・例年、来客数も売上も落ちる時期ではあるが、更に10％ほど落ち込んでいる。,
,,▲,一般小売店［酒類］（経営者）,来客数の動き,・例年に比べ飲食店街の人通りが少なく、新年会も低調である。,
,,▲,百貨店（売場主任）,お客様の様子,・クリアランス中であるが、百貨店の売場でサイズを確認してネットで買う客があからさまに増えてきた。最初からスマートフォンを見せてこれと同じものを履かせてほしいといったり、ネットで買った方が安いのはどうしてかと質問を投げかけてくる。以前は履くだけでありがとうという人が多かったが、履く前からネットで買うから履かせてほしいといわれることが多いので、百貨店の売上は厳しい。,
,,▲,百貨店（計画担当）,お客様の様子,・株価の影響か富裕層の高額品に対する動きが減少してきている。また、中国の法律の改正若しくは円高が影響したのか、インバウンド需要の減少が目立ってきている。,
,,▲,スーパー（経営者）,お客様の様子,・相変わらず商品の値段が安い店で客は購入している。スーパーの安売り競争も一段と激しさを増している。米国の対中国関税の締め付けは、中国国内の景気にマイナス要素になり、我が国からの電子部品や工作機器の輸出も減り、ＧＤＰに対するマイナス要素になっている。節約志向が高まり消費が伸びず、冬物商材の第２弾のバーゲンセールも、余り売上が伸びていない。そのため１月の景気はさほど良くない。,
,,▲,スーパー（店長）,単価の動き,・正月明けから、かなり買物にシビアになっていると感じる。週末においても高単価な物やぜいたく品の動きは余り良くない。それよりも通常の物、更に特売の物の動きが良い。そのため買上点数は伸びているが、売上は苦戦している。,
,,▲,スーパー（総務担当）,単価の動き,・客単価は上昇しているが、買上点数は良くない。,
,,▲,スーパー（販売担当）,来客数の動き,・年末年始で金を使ったためか、客が極めて少なくなっている。,
,,▲,スーパー（ブロック長）,お客様の様子,・来客数はほぼ前年並み、客単価は上がっているが、前年11月以降は買上点数が前年同月を下回っている。野菜の相場安はプラスの要因であるのに、年末以降から年明けは客の買上が鈍い。,
,,▲,コンビニ（エリア担当）,来客数の動き,・12月～年末は、比較的来客数、客単価共前年と比べて好調だったが、年が明けてから一気に来客数が減ってきており、前年割れをする店舗が増えている。,
,,▲,コンビニ（店長）,販売量の動き,・ドラッグストアと競合するアルコール飲料やソフト飲料類は、前年より10％以上売上が減少している。,
,,▲,コンビニ（店員）,来客数の動き,・正月はかなり来客数が減少した。,
,,▲,衣料品専門店（経営者）,来客数の動き,・バーゲンセールになってもなじみ客の買上が大半だったが、今期は絞られた同じ客の売上しかないという状態が顕著に表れている。,
,,▲,衣料品専門店（販売企画担当）,販売量の動き,・過去最低の売上である。節約志向なのか商品が動かない。,
,,▲,乗用車販売店（経営者）,お客様の様子,・新規購入や買換え購入よりも、買換えの見送りや高齢者による減車の動きが目立つ。,
,,▲,その他小売［ショッピングセンター］（経理担当）,販売量の動き,・売上高の前年割れが、特殊要因を除けば、ほぼ１年半続いている。,
,,▲,一般レストラン［居酒屋］（経営者）,お客様の様子,・インフルエンザの流行で客足が若干鈍い。,
,,▲,一般レストラン（経営者）,来客数の動き,・とにかく人が出ていない。インフルエンザ等の体調不良もあるかもしれないが、世間に人が出ていないように思う。,
,,▲,その他飲食［仕出し］（経営者）,お客様の様子,・米中関係や英国などの不安定要素で、心理的に後ろ向きな感じになっている。,
,,▲,その他飲食［ワイン輸入］（経営企画担当）,来客数の動き,・通常の来客数に加え、バーゲンセール時の来客数も前年を下回っている。消費意欲を感じられない。,
,,▲,観光型ホテル（経営者）,来客数の動き,・県外からの宿泊客が前年比90％と伸び悩んでいるが、地元客中心の昼食、夕食では逆に110％と、何ともいえない状況である。地元客には底固さがあるが県外からの宿泊数は弱いので、どちらともいえない。,
,,▲,都市型ホテル（総支配人）,単価の動き,・宿泊は競争激化で単価が大幅下落である。宴会は前年より微増である。,
,,▲,通信会社（企画担当）,販売量の動き,・新規契約数は営業人員の増加により何とかキープしているものの、解約件数は前年の２割増となっている。,
,,▲,通信会社（営業担当）,販売量の動き,・販売量が減少傾向にあり、当面は続くと思われる。,
,,▲,通信会社（営業担当）,お客様の様子,・利用が少ないという理由ではあるが、年配層からの解約の申込みが増えているように思う。,
,,▲,テーマパーク（職員）,お客様の様子,・来客数が減っている。,
,,▲,パチンコ店（経営者）,販売量の動き,・来客数や単価の動きがやや悪くなっている。,
,,▲,理美容室（経営者）,来客数の動き,・今月は暇な月だが、それにしても客が来ない。,
,,▲,美顔美容室（経営者）,来客数の動き,・インフルエンザが流行しており、客だけでなく自分もかかってしまい、キャンセルや休業が多かった。,
,,▲,美容室（経営者）,お客様の様子,・やはり消費税が絡んでいるのではないか。今年は引き上げられるということが、結構大きいのではないかと思う。,
,,▲,設計事務所（職員）,お客様の様子,・来客の状況や客の話から、やや悪くなっていると感じる。,
,,▲,住宅販売会社（従業員）,お客様の様子,・消費税増税で年明けからの駆け込みを期待していたが、増税後の優遇措置が良すぎて動きが鈍化している。来場数は増加したがゆっくり考える人が増え、実数以上に悪くなったという気持ちが大きい。,
,,▲,その他住宅［住宅管理］（経営者）,単価の動き,・リフォーム工事、修繕工事の依頼が増えているが、安価な材料での工事が増えている。景気の好転は期待できない。,
,,×,商店街（代表者）,お客様の様子,・より安い物をという声があり、なかなか普通の物が売れない。,
,,×,商店街（代表者）,販売量の動き,・前月に主要取引先がなくなってしまい、売上が激減している。,
,,×,美容室（経営者）,お客様の様子,・12月はパーマや毛染めの客が多かったので、１～２月は暇になる。,
,,×,理容室（経営者）,お客様の様子,・長年のなじみ客も安い店に流れる。,
"企業
動向
関連

(東海)",,◎,－,－,－,
,,○,窯業・土石製品製造業（社員）,受注量や販売量の動き,・新規引き合いが急に多くなり、見積りの成約率が非常に高い。短納期対応の要求が多く、残業や休日出勤で対応している。,
,,○,金属製品製造業（従業員）,受注量や販売量の動き,・引き続き引き合いが多く、仕事が途切れる気配がない。,
,,○,建設業（役員）,競争相手の様子,・駅近の他社マンションは、しゅん工２年前でも即日完売をしている。当社のマンションも順調に販売が推移し、大手自動車メーカー系の企業を中心に購買意欲がある。,
,,○,輸送業（エリア担当）,受注量や販売量の動き,・貨物の荷動きが５％増え、少し良くなっている。,
,,○,金融業（従業員）,取引先の様子,・自動車産業、建築業や金融関係の客との話からは、比較的元気があるような印象を受ける。３月戦に向けてということもあるのか実際に少し生産量も増えているようで、比較的景気は良い方向という感触がある。,
,,□,食料品製造業（経営企画担当）,受注量や販売量の動き,・暖冬の影響もあり受注量が伸びない。１月に入っても上向く気配がない。,
,,□,化学工業（人事担当）,それ以外,・製薬業界は外部要因の影響を強く受けないものの、業界内に強い追い風となるような事象は見当たらない。それぞれの企業の研究開発力により、個々の企業ごとに景況感が異なる。,
,,□,化学工業（総務秘書）,それ以外,・平成最後の年を迎え、長く続くが実感がないといわれる現在の好景気についての論評が散見されるようになったが、この謎の好景気は確かに続き、上がりも下がりもしない。そこまでの影響を与えるトピックがない。,
,,□,一般機械器具製造業（営業担当）,受注量や販売量の動き,・老朽設備を更新する引き合いは多いが、新規の設備投資案件が少ない。,
,,□,電気機械器具製造業（営業担当）,受注量や販売量の動き,・為替の影響が心配だが、今のところ影響は余りない。,
,,□,電気機械器具製造業（企画担当）,取引先の様子,・米中関係の悪化、株価低迷などマイナス要因はあるが、今のところ受注状況等に影響は感じられない。国内は人手不足感が続いており効率化のための投資は続きそうである。,
,,□,輸送用機械器具製造業（品質管理担当）,競争相手の様子,・同業他社も同様に人集めに苦労しており、今までと同じ条件では、人が余り集まらない。,
,,□,輸送業（経営者）,それ以外,・運転手、倉庫内作業者共に募集しても人が集まらない状況が続いている。派遣会社に時給を上げて依頼しても供給がない状態である。,
,,□,輸送業（エリア担当）,取引先の様子,・トラックメーカー４社と取引があるが、各メーカーの営業担当者からは、トラック受注台数はここ半年に比べ、それほど変わっていないと聞いている。消費税の増税を控え、見込みの発注はあるが、それを除外した通常の発注数はそれほど変わりないと聞いている。,
,,□,輸送業（役員）,受注量や販売量の動き,・荷動きには大きな変動はない。石油価格が下がり業界としてはコスト減となり明るい材料であるが、今後、業界としては慢性的な人手不足となり、作業１つ１つの工程の見直しやＡＩの導入など、その対応や労働条件の見直しなどが大きな課題となっている。,
,,□,輸送業（エリア担当）,受注量や販売量の動き,・例年どおりである。,
,,□,通信業（法人営業担当）,受注価格や販売価格の動き,・今期の業績目標達成に向けてラストスパートの時期になったが、受注が伸びない。問題は、業績が伸びない現実や状況に対して個々の営業担当者には危機感がなく、目標達成できないのが当たり前になっているような雰囲気が良くない。,
,,□,通信業（法人営業担当）,それ以外,・株価の伸び悩み、貿易赤字、実質賃金の減少、ガソリンや野菜の高値安定などがある。,
,,□,金融業（企画担当）,取引先の様子,・株価が上がらず為替も従来よりもやや円高であることから、個人投資家の含み益が増えず様子見の客が多い。個人投資家以外では、給与が上がっているとの報道もあるが、実感はないという客が多い。,
,,□,不動産業（経営者）,それ以外,・例年同様に晴天が多いこともあり好調に推移し、売上は前年同期を上回っている。駐輪場は低額で利用できることもあり、必要な出費を惜しむほど景気は悪くない。,
,,□,不動産業（経営者）,受注価格や販売価格の動き,・大きく変動してはいない。,
,,□,広告代理店（制作担当）,取引先の様子,・相変わらず広告に対しての価格競争が厳しく、横ばい状態が続いている。,
,,□,公認会計士,それ以外,・大企業の業績は好調のようだが、中堅中小企業の業績は厳しく、中堅中小企業の従業員の給与水準は向上していない。中堅中小企業の売上高は一定の水準であるが、コスト高、人件費高騰で収益性は低下している。,
,,□,行政書士,受注量や販売量の動き,・貨物の荷動きが変わらない。,
,,□,会計事務所（職員）,取引先の様子,・円高によるガソリン価格の低下で、営業など車での活動が活発化している。一方、輸出関連企業にとっては痛く、打撃を受けている。,
,,□,会計事務所（職員）,取引先の様子,・同じ業界内で法人取引しているところは好調で、消費者を相手にしている飲食店などは来客数や客単価が減少している。この傾向は３か月前と変わっていない。,
,,□,その他非製造業［ソフト開発］（経営者）,取引先の様子,・新年になっても多忙ではあるが、新規の仕事は細り気味である。他社も同様で繁忙感がない。同業他社も含め、全体的には減少気味である。,
,,▲,パルプ・紙・紙加工品製造業（顧問）,受注量や販売量の動き,・受注量、販売量共にやや堅調であるが、前年からの原材料の値上がりを製品価格に転嫁できず、経営状況は悪化している。,
,,▲,化学工業（営業担当）,受注量や販売量の動き,・中国向け電子材料薬品の需要が若干低迷している。,
,,▲,鉄鋼業（経営者）,受注量や販売量の動き,・中国の成長鈍化の影響か、機械受注などの減少で先細り感があるためか、新たな受注や販売の話が極端に少ない。12～１月の受注量は季節要因を除いても５％ほど落ち込んでいる。,
,,▲,金属製品製造業（経営者）,受注量や販売量の動き,・受注量が余り伸びず、一服感がある。,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・発電機の関係等を含め、12～１月はその前の３か月に比べ、２割程度受注量が減少している。今後しばらくは、海外の影響を受けながらやや悪い方向に進む。,
,,▲,輸送用機械器具製造業（総務経理担当）,受注量や販売量の動き,・中国で自動車の販売台数がここ数か月前年割れをしており、余り売れていないことが影響している。,
,,▲,通信業（総務担当）,それ以外,・米中貿易摩擦は、我が国への影響が大と報じられていて、余剰となった資材や製品が国内に安く出回ることで、企業への影響から個人の先行きへの不安をあおるムードになっている。,
,,▲,その他サービス業［ソフト開発］（社員）,取引先の様子,・１月末を迎えても２月の作業計画が提示されない。具体的な案件の受注又は仮受注ができていない。,
,,×,電気機械器具製造業（経営者）,取引先の様子,・客先業界全体が悪くなっているが、監督官庁の規制等がはっきりしていない点もあり、全体的に設備投資が抑えられている状況で悪くなっている。,
,,×,新聞販売店［広告］（店主）,受注量や販売量の動き,・折込広告が前年同期比で14％減と、年平均の９％減をかなり下回った。,
"雇用
関連

(東海)",,◎,－,－,－,
,,○,人材派遣会社（社員）,求人数の動き,・法人関係の新年会での利用が好調だった。,
,,○,アウトソーシング企業（エリア担当）,採用者数の動き,・自動車産業においてはメーカーによって大きく違いがある。不祥事やリコールがあるメーカーは厳しいが、その他のメーカーにおいては、おおむね年度末に向けて上向きに推移している。,
,,□,人材派遣業（営業担当）,周辺企業の様子,・中小企業を中心に、生産強化をもくろんでも人材確保ができず現状維持が継続している。,
,,□,人材派遣会社（営業担当）,周辺企業の様子,・３か月前と比べて製造業でのエンジニア稼働率に大きな変化はなく、12月末時点で99.1％となっており、景気はやや良い状態から変わらない。,
,,□,人材派遣会社（営業担当）,求人数の動き,・求人数は例年に比べて多い状態が続いている。,
,,□,人材派遣会社（企画統括）,求人数の動き,・企業の採用ニーズが引き続き強い一方で、求職者の求める年収条件が高まっており、採用には至っていない。,
,,□,新聞社［求人広告］（営業担当）,求人数の動き,・各企業の求人関連への予算投入の傾向は、横ばいである。,
,,□,職業安定所（次長）,求人数の動き,・有効求人倍率は引き続き高水準で推移しており、企業の採用意欲の高まりに対して求職者が減少しており、特に中小零細企業においては人手不足が深刻化している。,
,,□,職業安定所（次長）,求人数の動き,・新規求人数は、高水準ではあるが横ばい状態である。,
,,□,民間職業紹介機関（支社長）,求人数の動き,・引き続き求人件数は好調である。,
,,□,民間職業紹介機関（営業担当）,採用者数の動き,・引き続き求人は高止まりしている状況のなか、より求職者側の売手市場が鮮明になっていると感じる。,
,,▲,人材派遣会社（営業担当）,採用者数の動き,・求人数は横ばいでも、成約件数が増加していないため、派遣契約件数は、地域によって減少しているケースがある。,
,,▲,人材派遣会社（営業担当）,求人数の動き,・正社員の求人数が少しずつ減少している。,
,,▲,職業安定所（職員）,求人数の動き,・新規求人は長年にわたって前年同月を上回っていたが、24か月ぶりに前年同月を下回った。,
,,▲,職業安定所（職員）,求人数の動き,・建設、製造など主要産業の求人が、前年同月比で連続で減少している。,
,,×,新聞社［求人広告］（営業担当）,それ以外,・人手不足は続き、求人に掛ける金は増えているが、新聞社には回ってこない。紹介業など確実に人が採れるものに回っている。,
,,,,,,
　７．北陸（地域別調査機関：一般財団法人北陸経済研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(北陸)",,◎,乗用車販売店（経理担当）,販売量の動き,・１月の販売量は前年同月比135％を見込む。３か月前の10月の販売量は前年同月比123％であるので、上向いている。,
,,○,百貨店（売場主任）,来客数の動き,・前年の１月は雪の影響で来客数が減り売上が低迷した。本年は今のところ天候に恵まれ来客数、売上共に好調に推移している。特に、化粧品や特選雑貨、輸入腕時計が全体を押し上げ、店全体の売上をけん引している。３か月連続で前年超えの見込みである。,
,,○,スーパー（店長）,単価の動き,・来客数が微増しており、高単価商品でも商品価値があれば動きが出てきている。,
,,○,家電量販店（店長）,販売量の動き,・暖冬にて暖房商品の売行きは悪いが、ＢＳ４Ｋの影響もあってテレビが好調である。,
,,○,住関連専門店（役員）,販売量の動き,・初売りでは積雪もなく、足元の良さも手伝って例年を上回る実績を作っている。,
,,○,タクシー運転手,来客数の動き,・今月は新年会などがあり週末は良い。ただ、前年は雪が多く忙しかったが、今年はほとんど降らず、平日は良くない。,
,,○,タクシー運転手,来客数の動き,・今年は雪がないにもかかわらず、タクシーの需要が結構ある。,
